rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
7,7,-1,OLD,20197654,소울메이트,2023-03-15,8960596,0.7,-7624716,-46,2190407078,1189,-727,-37.9,225475,103,129,20230405
8,8,-1,OLD,20230641,오토라는 남자,2023-03-29,8321393,0.6,-7964883,-48.9,255276361,1068,-739,-40.9,27609,151,213,20230405
9,9,-1,OLD,20230767,파벨만스,2023-03-22,10252996,0.8,-3641191,-26.2,630943455,1056,-380,-26.5,62278,122,168,20230405
10,10,0,NEW,20226881,뮤턴트 이스케이프,2023-04-05,7911800,0.6,7911800,100,7911800,961,961,100,961,116,227,20230405
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,349801844,42.9,-48440810,-12.2,39937805992,35091,-4658,-11.7,3859566,1323,4632,20230404
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,112997962,13.9,-5980845,-5,2013695661,11522,-567,-4.7,201464,952,2614,20230404
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,113527751,13.9,45954751,68,45323230367,9767,2935,43,4397922,544,1153,20230404
4,4,0,OLD,20210544,웅남이,2023-03-22,47712386,5.9,-6494121,-12,2541877676,5149,-559,-9.8,277114,542,1295,20230404
5,5,0,OLD,20226489,리바운드,2023-04-05,24723000,3.0,1104000,4.7,161161000,2747,110,4.2,17839,9,9,20230404
6,6,0,OLD,20197654,소울메이트,2023-03-15,16585312,2.0,-2433398,-12.8,2181446482,1916,-366,-16,224286,287,401,20230404
7,7,0,OLD,20230641,오토라는 남자,2023-03-29,16286276,2.0,-213261,-1.3,246954968,1807,53,3,26541,309,505,20230404
8,8,0,OLD,20230767,파벨만스,2023-03-22,13894187,1.7,197042,1.4,620690459,1436,27,1.9,61222,193,259,20230404
9,9,22,OLD,20227863,라이스보이 슬립스,2023-04-19,9531000,1.2,7941000,499.4,28567000,1059,953,899.1,2987,8,8,20230404
10,10,-1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,7782223,1.0,1000005,14.7,1060156214,806,103,14.7,103072,93,114,20230404
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,398242654,49.6,-1800903059,-81.9,39588004148,39749,-178051,-81.7,3824475,1314,4748,20230403
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,118978807,14.8,-315468272,-72.6,1900697699,12089,-29471,-70.9,189942,956,2657,20230403
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,67573000,8.4,-172165668,-71.8,45209702616,6832,-15309,-69.1,4388155,524,1108,20230403
4,4,0,OLD,20210544,웅남이,2023-03-22,54206507,6.8,-110186293,-67,2494165290,5708,-11244,-66.3,271965,538,1275,20230403
5,5,0,NEW,20226489,리바운드,2023-04-05,23619000,2.9,23619000,100,136438000,2637,2637,100,15092,13,13,20230403
6,6,-1,OLD,20197654,소울메이트,2023-03-15,19018710,2.4,-48533004,-71.8,2164861170,2282,-4203,-64.8,222370,289,433,20230403
7,7,0,OLD,20230641,오토라는 남자,2023-03-29,16499537,2.1,-21785461,-56.9,230668692,1754,-2120,-54.7,24734,311,499,20230403
8,8,0,OLD,20230767,파벨만스,2023-03-22,13697145,1.7,-23990234,-63.7,606796272,1409,-2260,-61.6,59786,201,271,20230403
9,9,2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,6782218,0.8,-9182725,-57.5,1052373991,703,-834,-54.3,102266,93,112,20230403
10,10,5,OLD,20227684,멍뭉이,2023-03-01,6779599,0.8,-253001,-3.6,1695705086,699,-15,-2.1,180418,12,14,20230403
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,2199145713,64.2,-578795720,-20.8,39189761494,217800,-60542,-21.8,3784726,1540,6101,20230402
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,434447079,12.7,-118570007,-21.4,1781718892,41560,-10973,-20.9,177853,1062,3446,20230402
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,239738668,7.0,-46354541,-16.2,45142129616,22141,-6835,-23.6,4381323,612,1299,20230402
4,4,0,OLD,20210544,웅남이,2023-03-22,164392800,4.8,-7214367,-4.2,2439958783,16952,-722,-4.1,266257,651,1695,20230402
5,5,0,OLD,20197654,소울메이트,2023-03-15,67551714,2.0,-29006598,-30,2145842460,6485,-2996,-31.6,220088,365,548,20230402
6,6,1,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,43869500,1.3,-2269300,-4.9,471035200,5038,25,0.5,53211,181,300,20230402
7,7,1,OLD,20230641,오토라는 남자,2023-03-29,38284998,1.1,-8698026,-18.5,214169155,3874,-895,-18.8,22980,342,582,20230402
8,8,1,OLD,20230767,파벨만스,2023-03-22,37687379,1.1,-8216571,-17.9,593099127,3669,-776,-17.5,58377,221,303,20230402
9,9,1,OLD,20173226,패왕별희 디 오리지널,2017-03-30,27358118,0.8,-18552354,-40.4,1134324280,2421,-1447,-37.4,121418,77,97,20230402
10,10,1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,25087400,0.7,-2652900,-9.6,6569259100,2243,-315,-12.3,534370,117,167,20230402
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,2777941433,62.9,1903418137,217.7,36990615781,278342,193107,226.6,3566926,1530,6248,20230401
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,553017086,12.5,283636804,105.3,1347271813,52533,26457,101.5,136293,1075,3631,20230401
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,286093209,6.5,171310981,149.2,44902390948,28976,17923,162.2,4359182,615,1337,20230401
4,4,0,OLD,20210544,웅남이,2023-03-22,171607167,3.9,75461694,78.5,2275565983,17674,7062,66.5,249305,648,1753,20230401
5,5,0,OLD,20197654,소울메이트,2023-03-15,96558312,2.2,63280924,190.2,2078290746,9481,5957,169,213603,385,588,20230401
6,6,9,OLD,20230495,아임 히어로 더 파이널,2023-03-01,158061000,3.6,144863000,1097.6,5815856500,6437,5887,1070.4,240539,59,72,20230401
7,7,5,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,46138800,1.0,41286200,850.8,427165700,5013,4356,663,48173,185,312,20230401
8,8,-2,OLD,20230641,오토라는 남자,2023-03-29,46983024,1.1,14115052,42.9,175884157,4769,1265,36.1,19106,357,616,20230401
9,9,-2,OLD,20230767,파벨만스,2023-03-22,45903950,1.0,18773012,69.2,555411748,4445,1807,68.5,54708,219,295,20230401
10,10,69,OLD,20173226,패왕별희 디 오리지널,2017-03-30,45910472,1.0,45825472,53912.3,1106966162,3868,3857,35063.6,118997,79,103,20230401
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,874523296,54.5,416642389,91,34212674348,85235,39545,86.6,3288584,1302,4978,20230331
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,269380282,16.8,84863049,46,794254727,26076,7334,39.1,83760,1091,3576,20230331
3,3,2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,114782228,7.2,46045718,67,44616297739,11053,4259,62.7,4330206,553,1149,20230331
4,4,-1,OLD,20210544,웅남이,2023-03-22,96145473,6.0,15456976,19.2,2103958816,10612,1158,12.2,231631,626,1729,20230331
5,5,3,OLD,20197654,소울메이트,2023-03-15,33277388,2.1,10233189,44.4,1981732434,3524,792,29,204122,348,572,20230331
6,6,1,OLD,20230641,오토라는 남자,2023-03-29,32867972,2.0,6133620,22.9,128901133,3504,586,20.1,14337,353,642,20230331
7,7,2,OLD,20230767,파벨만스,2023-03-22,27130938,1.7,10371108,61.9,509507798,2638,923,53.8,50263,217,298,20230331
8,8,3,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,16238295,1.0,5426230,50.2,1007796363,1606,501,45.3,97919,97,128,20230331
9,9,-5,OLD,20080269,해피 투게더,1998-08-22,17072643,1.1,-48235700,-73.9,436614106,1574,-5573,-78,47222,120,232,20230331
10,10,0,OLD,20227684,멍뭉이,2023-03-01,13875797,0.9,963000,7.5,1672858392,1538,185,13.7,178067,21,29,20230331
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,457880907,41.3,-201135744,-30.5,33338151052,45690,-37467,-45.1,3203349,1225,4458,20230330
2,2,0,OLD,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,184517233,16.7,-130220979,-41.4,524874445,18742,-18502,-49.7,57684,1067,3296,20230330
3,3,1,OLD,20210544,웅남이,2023-03-22,80688497,7.3,-21677454,-21.2,2007813343,9454,-3853,-29,221019,609,1630,20230330
4,4,0,NEW,20080269,해피 투게더,1998-08-22,65308343,5.9,65308343,100,419541463,7147,7147,100,45648,140,281,20230330
5,5,-2,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,68736510,6.2,-76403962,-52.6,44501515511,6794,-11072,-62,4319153,521,1026,20230330
6,6,0,OLD,20226489,리바운드,2023-04-05,35865000,3.2,-6129000,-14.6,109759000,3909,-757,-16.2,12115,21,21,20230330
7,7,-2,OLD,20230641,오토라는 남자,2023-03-29,26734352,2.4,-10904617,-29,96033161,2918,-1952,-40.1,10833,339,619,20230330
8,8,-1,OLD,20197654,소울메이트,2023-03-15,23044199,2.1,-10158865,-30.6,1948455046,2732,-1240,-31.2,200598,305,468,20230330
9,9,-1,OLD,20230767,파벨만스,2023-03-22,16759830,1.5,-9737945,-36.8,482376860,1715,-1647,-49,47625,205,271,20230330
10,10,0,OLD,20227684,멍뭉이,2023-03-01,12912797,1.2,-2238503,-14.8,1658982595,1353,-289,-17.6,176529,17,22,20230330
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,659016651,43.2,122093226,22.7,32880270145,83157,30849,59,3157659,1268,4621,20230329
2,2,0,NEW,20226410,던전 앤 드래곤: 도적들의 명예,2023-03-29,314738212,20.6,314738212,100,340357212,37244,37244,100,38942,1105,3599,20230329
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,145140472,9.5,73858406,103.6,44432779001,17866,10936,157.8,4312359,546,1077,20230329
4,4,-2,OLD,20210544,웅남이,2023-03-22,102365951,6.7,-10771719,-9.5,1927124846,13307,-138,-1,211565,662,1727,20230329
5,5,0,NEW,20230641,오토라는 남자,2023-03-29,37638969,2.5,37638969,100,69298809,4870,4870,100,7915,371,725,20230329
6,6,-1,OLD,20226489,리바운드,2023-04-05,41994000,2.8,10094000,31.6,73894000,4666,1126,31.8,8206,20,20,20230329
7,7,-1,OLD,20197654,소울메이트,2023-03-15,33203064,2.2,2985958,9.9,1925410847,3972,831,26.5,197866,353,552,20230329
8,8,-4,OLD,20230767,파벨만스,2023-03-22,26497775,1.7,-9297933,-26,465617030,3362,-371,-9.9,45910,203,281,20230329
9,9,-2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,14732487,1.0,-5886997,-28.6,980746003,1922,-147,-7.1,95208,94,124,20230329
10,10,-2,OLD,20227684,멍뭉이,2023-03-01,15151300,1.0,-1184027,-7.2,1646069798,1642,-124,-7,175176,25,32,20230329
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,536923425,55.4,-53947997,-9.1,32221253494,52308,-5076,-8.8,3074502,1357,5006,20230328
2,2,0,OLD,20210544,웅남이,2023-03-22,113137670,11.7,-1701457,-1.5,1824758895,13445,997,8,198258,721,2339,20230328
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,71282066,7.4,-8680871,-10.9,44287638529,6930,-861,-11.1,4294493,550,1286,20230328
4,4,0,OLD,20230767,파벨만스,2023-03-22,35795708,3.7,2122854,6.3,439119255,3733,263,7.6,42548,388,639,20230328
5,5,0,NEW,20226489,리바운드,2023-04-05,31900000,3.3,31900000,100,31900000,3540,3540,100,3540,15,16,20230328
6,6,-1,OLD,20197654,소울메이트,2023-03-15,30217106,3.1,-2581363,-7.9,1892207783,3141,-242,-7.2,193894,478,879,20230328
7,7,-1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,20619484,2.1,272505,1.3,966013516,2069,39,1.9,93286,212,343,20230328
8,8,1,OLD,20227684,멍뭉이,2023-03-01,16335327,1.7,3162727,24,1630918498,1766,394,28.7,173534,46,54,20230328
9,9,-1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,16737900,1.7,-4009400,-19.3,6486384600,1347,-312,-18.8,526606,160,300,20230328
10,10,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,27472500,2.8,2197500,8.7,5616474500,1145,91,8.6,232380,49,120,20230328
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,590871422,58.8,-2595643171,-81.5,31684330069,57384,-251880,-81.4,3022194,1345,5073,20230327
2,2,0,OLD,20210544,웅남이,2023-03-22,114839127,11.4,-302080357,-72.5,1711621225,12448,-30077,-70.7,184813,707,2424,20230327
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,79962937,8.0,-239039457,-74.9,44216356463,7791,-22583,-74.3,4287563,565,1334,20230327
4,4,1,OLD,20230767,파벨만스,2023-03-22,33672854,3.3,-51724010,-60.6,403323547,3470,-4812,-58.1,38815,404,658,20230327
5,5,-1,OLD,20197654,소울메이트,2023-03-15,32798469,3.3,-129695689,-79.8,1861990677,3383,-12553,-78.8,190753,469,928,20230327
6,6,2,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,20346979,2.0,-35148860,-63.3,945394032,2030,-3249,-61.5,91217,218,344,20230327
7,7,0,NEW,20230747,샷건 웨딩,2023-03-29,13979000,1.4,13979000,100,18666000,1997,1997,100,2646,6,6,20230327
8,8,-1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,20747300,2.1,-54745300,-72.5,6469646700,1659,-4336,-72.3,525259,161,332,20230327
9,9,4,OLD,20227684,멍뭉이,2023-03-01,13172600,1.3,-3779783,-22.3,1614583171,1372,-375,-21.5,171768,36,42,20230327
10,10,1,OLD,20230495,아임 히어로 더 파이널,2023-03-01,25275000,2.5,-28101000,-52.6,5589002000,1054,-1171,-52.6,231235,49,114,20230327
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3186514593,69.0,-376584338,-10.6,31093458647,309264,-34043,-9.9,2964810,1572,6348,20230326
2,2,0,OLD,20210544,웅남이,2023-03-22,416919484,9.0,-68449922,-14.1,1596782098,42525,-7411,-14.8,172365,819,2953,20230326
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,319002394,6.9,-179959238,-36.1,44136393526,30374,-16032,-34.5,4279772,651,1643,20230326
4,4,0,OLD,20197654,소울메이트,2023-03-15,162494158,3.5,-5916749,-3.5,1829192208,15936,-848,-5.1,187370,591,1239,20230326
5,5,0,OLD,20230767,파벨만스,2023-03-22,85396864,1.8,-18107238,-17.5,369650693,8282,-1407,-14.5,35345,432,719,20230326
6,6,2,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,68158000,1.5,4703700,7.4,365828300,7062,309,4.6,41161,223,356,20230326
7,7,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,75492600,1.6,-15356900,-16.9,6448899400,5995,-1123,-15.8,523600,176,394,20230326
8,8,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,55495839,1.2,-12210706,-18,925047053,5279,-1098,-17.2,89187,233,363,20230326
9,9,1,OLD,20239905,꼬마돼지 베이브의 바다 대모험,2023-03-23,29961878,0.6,-1886364,-5.9,70915319,3409,-151,-4.2,8101,315,368,20230326
10,10,1,OLD,20224780,모나리자와 블러드 문,2023-03-22,20861179,0.5,-5260598,-20.1,147766899,2309,-485,-17.4,16289,327,451,20230326
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,3563098931,65.2,2438158590,216.7,27906944054,343307,238424,227.3,2655546,1559,6486,20230325
2,2,0,OLD,20210544,웅남이,2023-03-22,485369406,8.9,252827876,108.7,1179862614,49936,24813,98.8,129840,829,3123,20230325
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,498961632,9.1,361912562,264.1,43817391132,46406,33630,263.2,4249398,658,1695,20230325
4,4,0,OLD,20197654,소울메이트,2023-03-15,168410907,3.1,98220176,139.9,1666698050,16784,9985,146.9,171434,595,1284,20230325
5,5,0,OLD,20230767,파벨만스,2023-03-22,103504102,1.9,57517424,125.1,284253829,9689,5191,115.4,27063,450,757,20230325
6,6,4,OLD,20230495,아임 히어로 더 파이널,2023-03-01,199193500,3.6,172145500,636.4,5510351000,8300,7173,636.5,227956,50,129,20230325
7,7,0,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,90849500,1.7,51978700,133.7,6373406800,7118,4138,138.9,517605,181,413,20230325
8,8,8,OLD,20230484,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,63454300,1.2,58979700,1318.1,297670300,6753,6208,1139.1,34099,220,344,20230325
9,9,-3,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,67706545,1.2,33241673,96.5,869551214,6377,3068,92.7,83908,234,390,20230325
10,10,7,OLD,20239905,꼬마돼지 베이브의 바다 대모험,2023-03-23,31848242,0.6,27303943,600.8,40953441,3560,3022,561.7,4692,319,373,20230325
1,1,0,OLD,20226270,스즈메의 문단속,2023-03-08,1124940341,61.3,449763915,66.6,24343845123,104883,38894,58.9,2312239,1315,5190,20230324
2,2,0,OLD,20210544,웅남이,2023-03-22,232541530,12.7,29054716,14.3,694493208,25123,1879,8.1,79904,771,2978,20230324
3,3,0,OLD,20228555,더 퍼스트 슬램덩크,2023-01-04,137049070,7.5,45772208,50.1,43318429500,12776,3830,42.8,4202992,595,1398,20230324
4,4,0,OLD,20197654,소울메이트,2023-03-15,70190731,3.8,14571330,26.2,1498287143,6799,780,13,154650,541,1161,20230324
5,5,0,OLD,20230767,파벨만스,2023-03-22,45986678,2.5,9153227,24.9,180749727,4498,703,18.5,17374,408,754,20230324
6,6,1,OLD,20230340,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,34464872,1.9,9551189,38.3,801844669,3309,824,33.2,77531,219,384,20230324
7,7,1,OLD,20230533,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,38870800,2.1,10675500,37.9,6282557300,2980,724,32.1,510487,174,394,20230324
8,8,-2,OLD,20224780,모나리자와 블러드 문,2023-03-22,21233692,1.2,-3143783,-12.9,100783943,2191,-723,-24.8,11186,318,519,20230324
9,9,4,OLD,20230081,샤잠! 신들의 분노,2023-03-15,11988185,0.7,3512689,41.4,769832057,1164,310,36.3,72691,250,336,20230324
10,10,0,OLD,20230495,아임 히어로 더 파이널,2023-03-01,27048000,1.5,-39000,-0.1,5311157500,1127,-2,-0.2,219656,47,118,20230324
